Date,MAU
01-01-2015,48.0
01-02-2015,47.0
01-03-2015,46.0
01-04-2015,46.0
01-05-2015,48.0
01-06-2015,49.0
01-07-2015,54.0
01-08-2015,56.0
01-09-2015,57.0
01-10-2015,62.0
01-11-2015,63.0
01-12-2015,61.0
01-13-2015,61.0
01-14-2015,63.0
01-15-2015,70.0
01-16-2015,68.0
01-17-2015,70.0
01-18-2015,69.0
01-19-2015,68.0
01-20-2015,67.0
01-21-2015,67.0
01-22-2015,67.0
01-23-2015,68.0
01-24-2015,68.0
01-25-2015,69.0
01-26-2015,69.0
01-27-2015,70.0
01-28-2015,73.0
01-29-2015,75.0
01-30-2015,84.0
01-31-2015,84.0
02-01-2015,85.0
02-02-2015,85.0
02-03-2015,87.0
02-04-2015,88.0
02-05-2015,88.0
02-06-2015,91.0
02-07-2015,93.0
02-08-2015,91.0
02-09-2015,90.0
02-10-2015,89.0
02-11-2015,94.0
02-12-2015,93.0
02-13-2015,92.0
02-14-2015,92.0
02-15-2015,91.0
02-16-2015,90.0
02-17-2015,90.0
02-18-2015,97.0
02-19-2015,100.0
02-20-2015,101.0
02-21-2015,101.0
02-22-2015,101.0
02-23-2015,101.0
02-24-2015,102.0
02-25-2015,102.0
02-26-2015,105.0
02-27-2015,105.0
02-28-2015,108.0
03-01-2015,108.0
03-02-2015,101.0
03-03-2015,102.0
03-04-2015,102.0
03-05-2015,102.0
03-06-2015,98.0
03-07-2015,97.0
03-08-2015,95.0
03-09-2015,92.0
03-10-2015,89.0
03-11-2015,89.0
03-12-2015,89.0
03-13-2015,91.0
03-14-2015,89.0
03-15-2015,89.0
03-16-2015,88.0
03-17-2015,86.0
03-18-2015,85.0
03-19-2015,87.0
03-20-2015,86.0
03-21-2015,86.0
03-22-2015,85.0
03-23-2015,82.0
03-24-2015,83.0
03-25-2015,85.0
03-26-2015,86.0
03-27-2015,84.0
03-28-2015,85.0
03-29-2015,85.0
03-30-2015,82.0
03-31-2015,81.0
04-01-2015,88.0
04-02-2015,95.0
04-03-2015,100.0
04-04-2015,100.0
04-05-2015,100.0
04-06-2015,99.0
04-07-2015,100.0
04-08-2015,103.0
04-09-2015,105.0
04-10-2015,104.0
04-11-2015,102.0
04-12-2015,100.0
04-13-2015,98.0
04-14-2015,101.0
04-15-2015,104.0
04-16-2015,106.0
04-17-2015,108.0
04-18-2015,110.0
04-19-2015,110.0
04-20-2015,109.0
04-21-2015,111.0
04-22-2015,111.0
04-23-2015,116.0
04-24-2015,115.0
04-25-2015,115.0
04-26-2015,113.0
04-27-2015,112.0
04-28-2015,114.0
04-29-2015,118.0
04-30-2015,122.0
05-01-2015,127.0
05-02-2015,125.0
05-03-2015,119.0
05-04-2015,116.0
05-05-2015,119.0
05-06-2015,120.0
05-07-2015,121.0
05-08-2015,122.0
05-09-2015,123.0
05-10-2015,120.0
05-11-2015,118.0
05-12-2015,123.0
05-13-2015,127.0
05-14-2015,129.0
05-15-2015,127.0
05-16-2015,124.0
05-17-2015,120.0
05-18-2015,119.0
05-19-2015,115.0
05-20-2015,130.0
05-21-2015,138.0
05-22-2015,139.0
05-23-2015,138.0
05-24-2015,137.0
05-25-2015,136.0
05-26-2015,132.0
05-27-2015,137.0
05-28-2015,145.0
05-29-2015,143.0
05-30-2015,150.0
05-31-2015,149.0
06-01-2015,145.0
06-02-2015,154.0
06-03-2015,156.0
06-04-2015,160.0
06-05-2015,157.0
06-06-2015,160.0
06-07-2015,159.0
06-08-2015,151.0
06-09-2015,153.0
06-10-2015,159.0
06-11-2015,163.0
06-12-2015,164.0
06-13-2015,164.0
06-14-2015,163.0
06-15-2015,162.0
06-16-2015,162.0
06-17-2015,163.0
06-18-2015,165.0
06-19-2015,165.0
06-20-2015,153.0
06-21-2015,149.0
06-22-2015,143.0
06-23-2015,145.0
06-24-2015,145.0
06-25-2015,152.0
06-26-2015,156.0
06-27-2015,159.0
06-28-2015,157.0
06-29-2015,153.0
06-30-2015,152.0
07-01-2015,154.0
07-02-2015,155.0
07-03-2015,165.0
07-04-2015,162.0
07-05-2015,159.0
07-06-2015,155.0
07-07-2015,151.0
07-08-2015,158.0
07-09-2015,161.0
07-10-2015,161.0
07-11-2015,159.0
07-12-2015,154.0
07-13-2015,154.0
07-14-2015,158.0
07-15-2015,166.0
07-16-2015,166.0
07-17-2015,167.0
07-18-2015,167.0
07-19-2015,165.0
07-20-2015,164.0
07-21-2015,161.0
07-22-2015,171.0
07-23-2015,173.0
07-24-2015,174.0
07-25-2015,176.0
07-26-2015,174.0
07-27-2015,168.0
07-28-2015,171.0
07-29-2015,173.0
07-30-2015,176.0
07-31-2015,174.0
08-01-2015,173.0
08-02-2015,176.0
08-03-2015,174.0
08-04-2015,173.0
08-05-2015,183.0
08-06-2015,185.0
08-07-2015,184.0
08-08-2015,190.0
08-09-2015,187.0
08-10-2015,185.0
08-11-2015,197.0
08-12-2015,218.0
08-13-2015,236.0
08-14-2015,249.0
08-15-2015,246.0
08-16-2015,245.0
08-17-2015,242.0
08-18-2015,264.0
08-19-2015,278.0
08-20-2015,287.0
08-21-2015,297.0
08-22-2015,307.0
08-23-2015,307.0
08-24-2015,299.0
08-25-2015,300.0
08-26-2015,321.0
08-27-2015,331.0
08-28-2015,336.0
08-29-2015,344.0
08-30-2015,340.0
08-31-2015,337.0
09-01-2015,344.0
09-02-2015,354.0
09-03-2015,361.0
09-04-2015,380.0
09-05-2015,377.0
09-06-2015,377.0
09-07-2015,375.0
09-08-2015,368.0
09-09-2015,378.0
09-10-2015,380.0
09-11-2015,377.0
09-12-2015,378.0
09-13-2015,370.0
09-14-2015,368.0
09-15-2015,373.0
09-16-2015,379.0
09-17-2015,394.0
09-18-2015,402.0
09-19-2015,419.0
09-20-2015,414.0
09-21-2015,409.0
09-22-2015,410.0
09-23-2015,424.0
09-24-2015,451.0
09-25-2015,463.0
09-26-2015,462.0
09-27-2015,458.0
09-28-2015,462.0
09-29-2015,479.0
09-30-2015,495.0
10-01-2015,507.0
10-02-2015,524.0
10-03-2015,521.0
10-04-2015,509.0
10-05-2015,493.0
10-06-2015,498.0
10-07-2015,508.0
10-08-2015,516.0
10-09-2015,530.0
10-10-2015,529.0
10-11-2015,523.0
10-12-2015,509.0
10-13-2015,502.0
10-14-2015,513.0
10-15-2015,516.0
10-16-2015,519.0
10-17-2015,523.0
10-18-2015,513.0
10-19-2015,506.0
10-20-2015,505.0
10-21-2015,508.0
10-22-2015,512.0
10-23-2015,507.0
10-24-2015,504.0
10-25-2015,488.0
10-26-2015,478.0
10-27-2015,473.0
10-28-2015,476.0
10-29-2015,471.0
10-30-2015,466.0
10-31-2015,464.0
11-01-2015,457.0
11-02-2015,443.0
11-03-2015,442.0
11-04-2015,449.0
11-05-2015,461.0
11-06-2015,455.0
11-07-2015,448.0
11-08-2015,443.0
11-09-2015,435.0
11-10-2015,426.0
11-11-2015,439.0
11-12-2015,444.0
11-13-2015,449.0
11-14-2015,448.0
11-15-2015,442.0
11-16-2015,437.0
11-17-2015,439.0
11-18-2015,444.0
11-19-2015,444.0
11-20-2015,439.0
11-21-2015,438.0
11-22-2015,430.0
11-23-2015,422.0
11-24-2015,420.0
11-25-2015,425.0
11-26-2015,425.0
11-27-2015,423.0
11-28-2015,418.0
11-29-2015,408.0
11-30-2015,400.0
12-01-2015,398.0
